routeId,cost
9011001098700000,0.000000
9011001001200000,-106861.059722
9011001060900000,-19852.787500
9011001005700000,-143694.215278
9011001092500000,-141796.744444
9011001071100000,-16606.800000
9011001075600000,-8048.880000
9011001014200000,-42125.958333
9011001081200000,-23204.500000
9011008000900000,-28140.000000
9011001054200000,-33717.600000
9011001062600000,-21679.560000
9011001017500000,-89799.319444
9011001002800000,-209349.933333
9011001050800000,-63136.345833
9011001051300000,-24386.945833
9011001044100000,-30260.533333
9011001046900000,-28538.400000
9011001072700000,-8796.480000
9011001068800000,-24418.800000
9011001006900000,-1688.400000
9011001047400000,-284834.340000
9011001074000000,-135165.575000
9011001011300000,-7864.209722
9011001042800000,-6811.560000
9011001082800000,-38656.800000
9011001004100000,-1063122.797222
9011001090800000,-8316.000000
9011001007400000,-85543.481944
9011001015500000-155X,-10167.573611
9011001019900000,0.000000
9011001012900000,-62043.055556
9011001052900000,-27064.800000
9011001050100000,-47301.325000
9011001059900000,-782.880000
9011001043000000-430X,-9251.640000
9011001061400000,-4258.800000
9011001070600000,-10190.512500
9011008001400000,-14007.466667
9011001054600000,-10047.829167
9011001044500000,-77020.611111
9011001068400000,-56574.000000
9011001080700000,-226830.308333
9011001000700000,-175228.779167
9011001031500000,-21495.600000
9011001071500000,-12574.800000
9011001055800000,-12608.400000
9011001020500000,-62420.400000
9011001041600000,-10054.800000
9011001081600000,-54198.138889
9011008002600000,0.000000
9011001081900000,-48988.800000
9011001098700000-40D,0.000000
9011001098700000-40C,0.000000
9011001001900000,-768157.868333
9011001053000000,-7305.060000
9011001093000000,-99721.697222
9011001050400000-504Y,0.000000
9011001051700000,-82501.580556
9011001011700000,-91068.004167
9011001040200000-402X,-1134.000000
9011001044300000-443C,-9777.600000
9011001015800000,-2772.000000
9011001074400000,-93812.329167
9011001060500000,-69073.200000
9011001098700000-40S,0.000000
9011001060200000,-40723.200000
9011008000200000,-25763.733333
9011005090700000,-31961.891667
9011001074800000,-24681.727778
9011001080300000,-24275.754167
9011001070300000,-35318.802778
9011001082000000,-10920.125000
9011001061700000,-41605.200000
9011001044800000,-4309.200000
9011001055000000,-49089.600000
