n,e,pop
6285000,603000,14
6286000,603000,0
6290000,603000,30
6291000,603000,4
6292000,603000,5
6293000,603000,19
6294000,603000,88
6295000,603000,21
6296000,603000,20
6298000,603000,6
6303000,603000,7
6304000,603000,38
6305000,603000,159
6368000,603000,9
6394000,603000,9
6396000,603000,11
6408000,603000,0
6409000,603000,4
6410000,603000,4
6411000,603000,3
6416000,603000,5
6421000,603000,0
6422000,603000,3
6423000,603000,7
6424000,603000,7
6427000,603000,6
6428000,603000,9
6442000,603000,0
6443000,603000,0
6444000,603000,0
6445000,603000,4
6446000,603000,3
6448000,603000,0
6450000,603000,3
6452000,603000,3
6453000,603000,7
6462000,603000,7
6463000,603000,10
6464000,603000,4
6469000,603000,0
6470000,603000,0
6471000,603000,3
6474000,603000,3
6475000,603000,3
6478000,603000,4
6479000,603000,23
6481000,603000,9
6484000,603000,0
6485000,603000,10
6486000,603000,12
6487000,603000,3
6488000,603000,0
6489000,603000,10
6490000,603000,3
6491000,603000,6
6492000,603000,5
6499000,603000,13
6500000,603000,19
6502000,603000,5
6508000,603000,12
6509000,603000,5
6511000,603000,3
6512000,603000,10
6513000,603000,3
6516000,603000,0
6517000,603000,19
6518000,603000,93
6519000,603000,641
6520000,603000,63
6521000,603000,92
6523000,603000,15
6524000,603000,0
6528000,603000,10
6529000,603000,6
6530000,603000,3
6531000,603000,8
6532000,603000,18
6533000,603000,0
6535000,603000,3
6537000,603000,9
6538000,603000,0
6539000,603000,0
6540000,603000,4
6542000,603000,3
6543000,603000,7
6545000,603000,0
6546000,603000,0
6548000,603000,3
6549000,603000,45
6550000,603000,21
6551000,603000,15
6552000,603000,13
6556000,603000,3
6557000,603000,3
6558000,603000,12
6559000,603000,17
6560000,603000,11
6561000,603000,3
6564000,603000,3
6566000,603000,6
6567000,603000,17
6568000,603000,11
6569000,603000,0
6570000,603000,6
6571000,603000,11
6572000,603000,4
6573000,603000,8
6574000,603000,3
6575000,603000,8
6576000,603000,4
6577000,603000,0
6578000,603000,3
6579000,603000,3
6580000,603000,3
6581000,603000,3
6582000,603000,7
6583000,603000,3
6588000,603000,7
6589000,603000,23
6591000,603000,12
6592000,603000,8
6593000,603000,6
6606000,603000,64
6607000,603000,8
6610000,603000,25
6611000,603000,3
6612000,603000,3
6613000,603000,29
6614000,603000,45
6615000,603000,93
6616000,603000,200
6617000,603000,85
6618000,603000,20
6619000,603000,0
6621000,603000,0
6622000,603000,18
6623000,603000,10
6624000,603000,4
6625000,603000,3
6626000,603000,25
6627000,603000,3
6628000,603000,13
6631000,603000,6
6632000,603000,10
6633000,603000,3
6635000,603000,8
6637000,603000,4
6639000,603000,5
6640000,603000,3
6642000,603000,3
6643000,603000,15
6644000,603000,136
6645000,603000,496
6646000,603000,655
6647000,603000,55
6648000,603000,42
6651000,603000,3
6652000,603000,7
6655000,603000,3
6656000,603000,4
6657000,603000,3
6658000,603000,17
6659000,603000,3
6660000,603000,9
6663000,603000,25
6667000,603000,4
6669000,603000,0
6670000,603000,7
6684000,603000,42
6695000,603000,5
6696000,603000,31
6707000,603000,4
6708000,603000,0
6713000,603000,0
6714000,603000,0
6715000,603000,0
6716000,603000,37
6717000,603000,33
6718000,603000,9
6719000,603000,44
6720000,603000,185
6721000,603000,1170
6722000,603000,87
6723000,603000,3
6750000,603000,4
6761000,603000,7
6778000,603000,5
6779000,603000,7
6795000,603000,17
6796000,603000,105
6797000,603000,4
6801000,603000,4
6802000,603000,3
6803000,603000,5
6804000,603000,49
6805000,603000,61
6815000,603000,0
6817000,603000,3
6818000,603000,93
6819000,603000,15
6820000,603000,0
6822000,603000,3
6823000,603000,15
6824000,603000,14
6829000,603000,4
6830000,603000,3
6831000,603000,14
6835000,603000,22
6839000,603000,12
6841000,603000,31
6842000,603000,25
6843000,603000,122
6844000,603000,508
6845000,603000,83
6846000,603000,69
6847000,603000,5
6848000,603000,9
6849000,603000,21
6850000,603000,18
6851000,603000,9
6868000,603000,0
6871000,603000,10
6872000,603000,6
6876000,603000,5
6883000,603000,0
6884000,603000,3
6889000,603000,0
6902000,603000,15
6906000,603000,9
6907000,603000,3
6908000,603000,6
6909000,603000,10
6910000,603000,13
6912000,603000,9
6913000,603000,73
6914000,603000,126
6915000,603000,58
6916000,603000,135
6921000,603000,6
6931000,603000,3
6932000,603000,3
6933000,603000,13
6934000,603000,0
6943000,603000,10
6944000,603000,37
6957000,603000,3
7006000,603000,133
7007000,603000,536
7008000,603000,74
7009000,603000,0
7023000,603000,41
7024000,603000,55
