lat,lon,population
56.692070,16.690104,14
56.701051,16.690506,0
56.736971,16.692119,30
56.745951,16.692523,4
56.754931,16.692927,5
56.763911,16.693331,19
56.772891,16.693735,88
56.781871,16.694140,21
56.790851,16.694545,20
56.808811,16.695356,6
56.853711,16.697386,7
56.862691,16.697793,38
56.871671,16.698200,159
57.437373,16.724330,9
57.670821,16.735400,9
57.688778,16.736258,11
57.796520,16.741431,0
57.805498,16.741864,4
57.814477,16.742297,4
57.823455,16.742730,3
57.868347,16.744900,5
57.913238,16.747077,0
57.922216,16.747513,3
57.931194,16.747950,7
57.940172,16.748386,7
57.967107,16.749698,6
57.976085,16.750135,9
58.101777,16.756291,0
58.110755,16.756732,0
58.119733,16.757174,0
58.128711,16.757616,4
58.137688,16.758059,3
58.155644,16.758944,0
58.173600,16.759831,3
58.191555,16.760719,3
58.200533,16.761163,7
58.281332,16.765174,7
58.290310,16.765621,10
58.299287,16.766068,4
58.344175,16.768308,0
58.353153,16.768757,0
58.362130,16.769206,3
58.389062,16.770556,3
58.398040,16.771006,3
58.424972,16.772358,4
58.433949,16.772809,23
58.451904,16.773713,9
58.478836,16.775070,0
58.487813,16.775523,10
58.496791,16.775976,12
58.505768,16.776430,3
58.514745,16.776884,0
58.523722,16.777338,10
58.532700,16.777792,3
58.541677,16.778247,6
58.550654,16.778702,5
58.613494,16.781894,13
58.622471,16.782351,19
58.640425,16.783266,5
58.694287,16.786018,12
58.703264,16.786477,5
58.721218,16.787397,3
58.730195,16.787858,10
58.739172,16.788319,3
58.766102,16.789703,0
58.775079,16.790164,19
58.784056,16.790627,93
58.793033,16.791089,641
58.802010,16.791552,63
58.810986,16.792015,92
58.828940,16.792942,15
58.837917,16.793405,0
58.873823,16.795264,10
58.882800,16.795729,6
58.891777,16.796195,3
58.900753,16.796660,8
58.909730,16.797127,18
58.918707,16.797593,0
58.936660,16.798527,3
58.954613,16.799461,9
58.963589,16.799929,0
58.972566,16.800397,0
58.981542,16.800866,4
58.999495,16.801804,3
59.008472,16.802273,7
59.026425,16.803212,0
59.035401,16.803683,0
59.053354,16.804624,3
59.062330,16.805095,45
59.071307,16.805566,21
59.080283,16.806038,15
59.089259,16.806510,13
59.125165,16.808400,3
59.134141,16.808873,3
59.143117,16.809347,12
59.152093,16.809821,17
59.161070,16.810295,11
59.170046,16.810770,3
59.196974,16.812195,3
59.214927,16.813147,6
59.223903,16.813623,17
59.232879,16.814100,11
59.241855,16.814577,0
59.250831,16.815054,6
59.259807,16.815531,11
59.268783,16.816009,4
59.277759,16.816487,8
59.286735,16.816965,3
59.295711,16.817444,8
59.304687,16.817923,4
59.313663,16.818402,0
59.322639,16.818882,3
59.331615,16.819362,3
59.340591,16.819842,3
59.349567,16.820322,3
59.358543,16.820803,7
59.367519,16.821284,3
59.412398,16.823694,7
59.421374,16.824176,23
59.439325,16.825143,12
59.448301,16.825627,8
59.457277,16.826111,6
59.573960,16.832431,64
59.582936,16.832919,8
59.609862,16.834386,25
59.618838,16.834875,3
59.627813,16.835365,3
59.636789,16.835855,29
59.645764,16.836346,45
59.654740,16.836836,93
59.663715,16.837327,200
59.672691,16.837819,85
59.681666,16.838310,20
59.690641,16.838802,0
59.708592,16.839787,0
59.717567,16.840280,18
59.726543,16.840773,10
59.735518,16.841267,4
59.744493,16.841760,3
59.753469,16.842255,25
59.762444,16.842749,3
59.771419,16.843244,13
59.798345,16.844730,6
59.807320,16.845226,10
59.816295,16.845722,3
59.834245,16.846716,8
59.852196,16.847710,4
59.870146,16.848707,5
59.879121,16.849205,3
59.897071,16.850203,3
59.906046,16.850702,15
59.915021,16.851202,136
59.923996,16.851702,496
59.932971,16.852203,655
59.941946,16.852703,55
59.950921,16.853204,42
59.977846,16.854709,3
59.986821,16.855211,7
60.013745,16.856720,3
60.022720,16.857224,4
60.031695,16.857728,3
60.040670,16.858232,17
60.049645,16.858736,3
60.058619,16.859241,9
60.085544,16.860758,25
60.121443,16.862784,4
60.139392,16.863799,0
60.148367,16.864307,7
60.274010,16.871454,42
60.372728,16.877114,5
60.381702,16.877630,31
60.480419,16.883334,4
60.489393,16.883854,0
60.534263,16.886462,0
60.543237,16.886984,0
60.552211,16.887507,0
60.561185,16.888030,37
60.570159,16.888554,33
60.579133,16.889078,9
60.588107,16.889602,44
60.597081,16.890126,185
60.606055,16.890651,1170
60.615029,16.891177,87
60.624003,16.891702,3
60.866292,16.906021,4
60.965000,16.911926,7
61.117544,16.921137,5
61.126518,16.921682,7
61.270085,16.930450,17
61.279058,16.931001,105
61.288031,16.931553,4
61.323922,16.933762,4
61.332895,16.934316,3
61.341867,16.934869,5
61.350840,16.935423,49
61.359813,16.935978,61
61.449539,16.941541,0
61.467484,16.942658,3
61.476457,16.943217,93
61.485429,16.943777,15
61.494402,16.944337,0
61.512347,16.945458,3
61.521319,16.946019,15
61.530292,16.946580,14
61.575154,16.949392,4
61.584126,16.949956,3
61.593098,16.950520,14
61.628988,16.952779,22
61.664877,16.955045,12
61.682821,16.956180,31
61.691793,16.956748,25
61.700765,16.957317,122
61.709737,16.957885,508
61.718710,16.958455,83
61.727682,16.959024,69
61.736654,16.959594,5
61.745626,16.960165,9
61.754598,16.960735,21
61.763570,16.961306,18
61.772542,16.961878,9
61.925065,16.971652,0
61.951980,16.973389,10
61.960952,16.973968,6
61.996839,16.976290,5
62.059640,16.980369,0
62.068612,16.980954,3
62.113470,16.983881,0
62.230098,16.991538,15
62.265983,16.993908,9
62.274954,16.994501,3
62.283926,16.995095,6
62.292897,16.995689,10
62.301868,16.996284,13
62.319810,16.997474,9
62.328782,16.998070,73
62.337753,16.998666,126
62.346724,16.999263,58
62.355695,16.999860,135
62.400550,17.002851,6
62.490260,17.008865,3
62.499231,17.009468,3
62.508202,17.010072,13
62.517173,17.010677,0
62.597910,17.016135,10
62.606880,17.016743,37
62.723498,17.024693,3
63.163037,17.055304,133
63.172007,17.055940,536
63.180976,17.056576,74
63.189946,17.057212,0
63.315521,17.066170,41
63.324491,17.066813,55
63.333461,17.067457,26
63.342430,17.068101,8
63.781919,17.100226,4
63.790888,17.100893,4
63.952324,17.112986,4
64.454539,17.151626,0
64.624923,17.165097,0
64.669760,17.168673,0
65.091210,17.202943,0
66.104348,17.290464,0
66.310539,17.309226,4
66.462935,17.323312,0
56.593066,16.701969,0
56.646947,16.704396,5
56.691848,16.706425,45
56.700828,16.706831,33
56.709808,16.707238,36
56.718788,16.707645,3
56.727768,16.708052,12
56.736748,16.708460,4
56.754708,16.709275,4
56.763688,16.709683,3
56.772668,16.710092,8
56.790628,16.710909,7
56.808588,16.711728,54
56.817568,16.712137,26
56.826547,16.712547,17
56.853487,16.713778,22
56.862467,16.714188,100
56.871446,16.714599,86
56.880426,16.715011,3
57.697526,16.753459,0
57.805266,16.758685,10
57.814245,16.759122,3
57.823223,16.759559,3
57.859136,16.761312,13
57.868114,16.761750,0
57.921983,16.764388,6
57.930961,16.764829,0
57.966873,16.766594,4
57.975851,16.767036,9
58.047675,16.770581,0
58.101542,16.773250,0
58.110520,16.773696,3
58.119498,16.774142,3
58.155409,16.775930,4
58.164386,16.776377,13
58.173364,16.776825,0
58.182342,16.777273,0
58.200297,16.778170,4
58.209275,16.778619,0
58.272118,16.781768,3
58.290073,16.782671,10
58.299051,16.783122,0
58.325983,16.784479,0
58.343938,16.785384,4
58.352915,16.785837,3
58.388825,16.787653,3
58.433712,16.789928,8
58.451666,16.790841,5
58.460643,16.791297,0
58.487575,16.792668,0
58.496552,16.793126,11
58.532461,16.794959,12
58.541438,16.795418,34
58.550415,16.795877,3
58.613254,16.799100,8
58.622231,16.799562,501
58.631208,16.800024,161
58.649162,16.800948,3
58.685070,16.802800,15
58.694047,16.803264,9
58.703024,16.803728,0
58.712001,16.804192,8
58.720977,16.804657,6
58.729954,16.805122,30
58.738931,16.805587,3
58.774838,16.807451,38
58.783815,16.807917,3
58.792792,16.808384,3
58.801768,16.808851,62
58.810745,16.809319,34
58.819722,16.809787,13
58.828698,16.810255,9
58.864605,16.812130,17
58.873581,16.812599,7
58.891535,16.813539,3
58.900511,16.814009,5
58.909488,16.814480,0
58.936417,16.815894,3
58.963347,16.817310,3
58.972323,16.817783,8
58.981299,16.818255,3
58.990276,16.818729,3
58.999252,16.819202,4
59.008229,16.819676,3
59.017205,16.820150,8
59.044134,16.821574,5
59.053110,16.822050,28
59.062087,16.822525,485
59.071063,16.823001,98
59.080039,16.823477,7
59.124920,16.825862,12
59.133896,16.826340,8
59.142873,16.826818,18
59.151849,16.827297,7
59.196729,16.829694,0
59.223657,16.831136,3
59.241609,16.832098,0
59.250585,16.832580,12
59.259561,16.833062,0
59.277513,16.834027,11
59.304441,16.835477,10
59.322393,16.836445,3
59.349320,16.837899,9
59.358296,16.838385,12
59.367272,16.838870,7
59.403175,16.840816,16
59.412151,16.841303,14
59.421126,16.841791,36
59.430102,16.842279,19
59.439078,16.842767,19
59.448054,16.843255,19
59.457029,16.843744,20
59.466005,16.844233,5
59.519858,16.847173,6
59.528834,16.847664,3
59.537810,16.848156,3
59.546785,16.848648,3
59.564736,16.849632,3
59.600638,16.851605,5
59.609613,16.852098,42
59.618589,16.852593,18
59.627564,16.853087,10
59.645515,16.854077,22
59.654490,16.854573,0
59.663465,16.855068,8
59.672441,16.855565,14
59.681416,16.856061,9
59.690391,16.856558,14
59.699367,16.857055,5
59.717317,16.858050,6
59.726292,16.858548,6
59.735268,16.859046,29
59.753218,16.860043,60
59.762193,16.860542,26
59.771168,16.861042,15
59.798094,16.862542,4
59.807069,16.863043,3
59.825019,16.864046,3
59.851944,16.865552,0
59.914769,16.869077,22
59.923744,16.869582,626
59.932719,16.870087,258
59.941694,16.870593,150
59.950668,16.871099,52
59.959643,16.871605,7
59.986568,16.873125,0
60.004517,16.874140,14
60.013492,16.874648,0
60.022467,16.875157,10
60.031442,16.875666,8
60.058366,16.877194,0
60.067340,16.877704,7
60.076315,16.878214,3
60.130163,16.881283,0
60.139137,16.881795,0
60.148112,16.882308,3
60.157087,16.882822,6
60.166061,16.883335,6
60.175036,16.883849,9
60.192985,16.884878,4
60.273754,16.889524,11
60.282729,16.890042,104
60.587848,16.907847,5
60.596822,16.908377,146
60.605795,16.908907,82
60.623743,16.909968,9
60.946790,16.929300,4
61.171117,16.942993,0
61.180090,16.943545,8
61.260846,16.948533,8
61.269818,16.949089,230
61.278791,16.949646,64
61.287764,16.950203,30
61.341600,16.953551,0
61.350573,16.954110,39
61.359545,16.954670,97
61.368518,16.955230,17
61.404408,16.957474,8
61.413381,16.958036,3
61.422353,16.958598,3
61.431326,16.959161,0
61.440298,16.959724,0
61.476188,16.961980,16
61.485160,16.962544,4
61.503105,16.963675,4
61.512078,16.964241,4
61.521050,16.964808,38
61.530022,16.965374,33
61.538995,16.965942,9
61.583856,16.968783,19
61.592828,16.969352,19
61.637689,16.972205,20
61.646661,16.972777,23
61.655634,16.973349,16
61.673578,16.974494,7
61.682550,16.975067,0
61.691522,16.975641,26
61.700494,16.976215,123
61.709466,16.976789,566
61.718438,16.977364,91
61.727410,16.977939,16
61.736382,16.978514,18
61.745354,16.979090,8
61.754326,16.979666,39
61.763298,16.980243,65
61.772270,16.980820,16
61.853017,16.986030,0
61.906848,16.989521,3
61.915819,16.990105,22
61.924791,16.990688,7
61.933763,16.991272,6
61.969649,16.993612,4
61.978621,16.994198,4
61.987593,16.994784,4
61.996564,16.995371,7
62.059365,16.999489,7
62.104222,17.002443,6
62.265705,17.013158,0
62.274676,17.013758,8
62.283648,17.014357,17
62.292619,17.014957,14
62.301590,17.015557,4
62.310561,17.016158,3
62.319532,17.016759,22
62.328503,17.017361,159
62.337474,17.017963,995
62.346445,17.018565,145
62.355416,17.019168,90
62.400271,17.022188,9
62.409242,17.022793,3
